,symbol,price_change,percent_change,last_price,high,low,volume
231,ROSE/USDT,-0.00135,-3.972,0.03264,0.03412,0.03264,1659811.629965
444,FLOKI/USDT,-2.87e-06,-3.995,6.897e-05,7.316e-05,6.849e-05,17627382.52351102
503,ZK/USDT,-0.0032,-4.035,0.0761,0.0803,0.0756,4310201.95635
500,BB/USDT,-0.0063,-4.049,0.1493,0.1558,0.147,1770152.54448
554,RED/USDT,-0.0237,-4.053,0.5611,0.624,0.5512,12244874.98656
434,ID/USDT,-0.0107,-4.059,0.2529,0.2657,0.2502,1541238.0094
200,OXT/USDT,-0.003,-4.06,0.0709,0.0745,0.0701,921382.7443
232,AVA/USDT,-0.0263,-4.076,0.6189,0.6542,0.6142,759425.00603
120,CTSI/USDT,-0.0031,-4.09,0.0727,0.0767,0.0727,619465.3602
104,LTO/USDT,-0.0026,-4.094,0.0609,0.0642,0.0603,438187.1801
513,POL/USDT,-0.0097,-4.096,0.2271,0.2428,0.2256,11109696.38053
341,RARE/USDT,-0.0029,-4.102,0.0678,0.0717,0.0665,5201962.66934
269,PERP/USDT,-0.016,-4.103,0.374,0.3908,0.3723,681403.605034
489,METIS/USDT,-0.78,-4.103,18.23,19.03,18.15,1059279.32197
242,GRT/USDT,-0.0044,-4.112,0.1026,0.1079,0.1024,3080928.4561
68,WAN/USDT,-0.0047,-4.112,0.1096,0.1149,0.1083,282383.274
380,LOKA/USDT,-0.0049,-4.121,0.114,0.1194,0.1108,477460.73266
535,VANA/USDT,-0.313,-4.132,7.262,7.719,7.118,15060513.77284
455,CYBER/USDT,-0.063,-4.137,1.46,1.535,1.458,1092781.98466
54,DUSK/USDT,-0.0038,-4.139,0.088,0.0929,0.0865,721986.7455
395,BIFI/USDT,-8.3,-4.173,190.6,200.2,188.6,252503.3017
414,PHB/USDT,-0.026,-4.207,0.592,0.621,0.586,1305657.6463
460,NTRN/USDT,-0.0066,-4.217,0.1499,0.1574,0.1489,1672786.80461
41,THETA/USDT,-0.043,-4.22,0.976,1.026,0.968,3237836.5167
516,1MBABYDOGE/USDT,-6.02e-05,-4.223,0.0013653,0.0014397,0.001362,2073349.0525274
545,TRUMP/USDT,-0.49,-4.224,11.11,11.67,11.02,68488271.37115
47,ONE/USDT,-0.00056,-4.226,0.01269,0.01345,0.01264,2474482.039539
304,MLN/USDT,-0.4,-4.228,9.06,9.48,8.93,389944.08804
53,DOGE/USDT,-0.00841,-4.24,0.18992,0.19997,0.18757,162774902.80584
60,MTL/USDT,-0.034,-4.266,0.763,0.804,0.762,403098.3179
428,USTC/USDT,-0.00057,-4.273,0.01277,0.01344,0.01257,2116312.70948
248,ATM/USDT,-0.055,-4.304,1.223,1.295,1.214,1101967.69695
272,CFX/USDT,-0.0041,-4.316,0.0909,0.0955,0.0903,4338342.8369
195,WING/USDT,-0.15,-4.408,3.253,3.516,3.238,1464368.73968
325,DYDX/USDT,-0.0337,-4.451,0.7235,0.7738,0.7191,8009622.240753
387,WOO/USDT,-0.0043,-4.484,0.0916,0.0964,0.091,716169.84297
520,SCR/USDT,-0.017,-4.485,0.362,0.387,0.361,3108505.8849
526,PNUT/USDT,-0.0094,-4.498,0.1996,0.2173,0.1962,35459787.0599
